date,state,district,total,anomaly_score
01-03-2025,Odisha,Gajapati,728,0.011612118586514564
01-03-2025,Chhattisgarh,Bilaspur,2051,0.08387242085846591
01-03-2025,Uttar Pradesh,Kheri,998,0.043620671891777096
01-03-2025,West Bengal,Puruliya,810,0.020704254576667136
01-03-2025,Gujarat,Surat,971,0.03975590391976269
01-03-2025,Jharkhand,Deoghar,778,0.01855551057966398
01-03-2025,Telangana,K.v. Rangareddy,737,0.01267636171192199
01-03-2025,Madhya Pradesh,Satna,822,0.020704254576667136
01-03-2025,Chhattisgarh,Balod,749,0.015877745372966823
01-03-2025,Madhya Pradesh,Sagar,1246,0.06322147034366565
01-03-2025,Uttar Pradesh,Kanpur Dehat,946,0.03645778293320845
01-03-2025,Tamil Nadu,Dharmapuri,892,0.02881403570892871
01-03-2025,Uttar Pradesh,Auraiya,712,0.0063124510387230215
01-03-2025,Maharashtra,Buldhana,1115,0.0570111312893713
01-03-2025,Andhra Pradesh,Guntur,937,0.03536138120247778
01-03-2025,Uttar Pradesh,Sonbhadra,701,0.0036760332874871127
01-03-2025,Rajasthan,Jodhpur,706,0.0063124510387230215
01-03-2025,Bihar,Sitamarhi,926,0.03481373644403185
01-03-2025,Maharashtra,Gondiya,880,0.028270819296595584
01-03-2025,Tamil Nadu,Virudhunagar,668,0.0020984583644443333
01-03-2025,Bihar,Darbhanga,746,0.015877745372966823
01-03-2025,Madhya Pradesh,Harda,1815,0.07808550019695992
01-03-2025,Uttar Pradesh,Allahabad,1016,0.045282612491180374
01-03-2025,Madhya Pradesh,Gwalior,1047,0.05028872233513304
01-03-2025,Delhi,West Delhi,1756,0.07808550019695992
01-03-2025,Tamil Nadu,Tirunelveli,708,0.005784453741542128
01-03-2025,Odisha,Rayagada,961,0.03700654040739204
01-03-2025,Mizoram,Aizawl,1424,0.07119268040943305
01-03-2025,Tamil Nadu,Kancheepuram,810,0.020704254576667136
01-03-2025,Uttar Pradesh,Fatehpur,1729,0.07693280707314831
01-03-2025,Punjab,Mansa,718,0.007898588037626997
01-03-2025,Madhya Pradesh,Katni,759,0.01855551057966398
01-03-2025,Maharashtra,Nanded,2264,0.08445326928272845
01-03-2025,Odisha,Kalahandi,982,0.04030689361253026
01-03-2025,Maharashtra,Nashik,1981,0.08213223169006634
01-03-2025,Andhra Pradesh,Guntur,762,0.01694776453489799
01-03-2025,Uttar Pradesh,Bijnor,919,0.03481373644403185
01-03-2025,Uttar Pradesh,Kushinagar,1142,0.0581368486994831
01-03-2025,Chhattisgarh,Narayanpur,2048,0.08387242085846591
01-03-2025,Madhya Pradesh,Satna,1238,0.06322147034366565
01-03-2025,Bihar,Nalanda,1084,0.050846840800042536
01-03-2025,Maharashtra,Amravati,1652,0.07463209493149248
01-03-2025,Jharkhand,Dumka,983,0.041962101209954805
01-03-2025,Gujarat,Narmada,802,0.020704254576667136
01-03-2025,Haryana,Bhiwani,820,0.020704254576667136
01-03-2025,Odisha,Koraput,732,0.01267636171192199
